日期,地区,产品类别,产品名称,销售额,销售量,利润,折扣,客户评分
2024-03-18,华东,电子产品,充电宝,1500.00,48,450.00,0.30,3.9
2024-03-20,华南,服装鞋帽,太阳镜,2200.00,16,880.00,0.20,4.1
2024-03-22,华北,食品饮料,橄榄油,3600.00,9,1080.00,0.15,4.5
2024-03-25,华中,运动户外,跳绳,350.00,65,140.00,0.35,4.2
2024-03-28,西南,家居用品,扫地机器人,9800.00,5,2200.00,0.08,4.6
2024-04-01,华东,电子产品,蓝牙音箱,1800.00,25,540.00,0.18,4.3
2024-04-03,华南,服装鞋帽,休闲鞋,3200.00,18,960.00,0.22,4.0
2024-04-05,华北,食品饮料,巧克力,1500.00,42,450.00,0.25,4.1
2024-04-08,华中,运动户外,羽毛球拍,860.00,28,280.00,0.30,4.4
2024-04-10,西南,家居用品,加湿器,2200.00,20,660.00,0.15,4.2
2024-04-12,华东,电子产品,显示器,6800.00,7,1800.00,0.05,4.7
2024-04-15,华南,服装鞋帽,西装外套,5200.00,5,1560.00,0.10,4.5
2024-04-18,华北,食品饮料,咖啡豆,2400.00,22,720.00,0.12,4.3
2024-04-20,华中,运动户外,泳镜,680.00,38,200.00,0.28,4.0
2024-04-22,西南,家居用品,电饭煲,4200.00,12,1260.00,0.08,4.6
2024-04-25,华东,电子产品,键盘,1200.00,30,360.00,0.22,4.1
2024-04-28,华南,服装鞋帽,运动短裤,980.00,35,280.00,0.35,3.9
2024-05-02,华北,食品饮料,果汁礼盒,3200.00,15,960.00,0.10,4.4
2024-05-05,华中,运动户外,滑板,2800.00,8,840.00,0.15,4.3
2024-05-08,西南,家居用品,电热水壶,860.00,45,240.00,0.30,4.0
2024-05-10,华东,电子产品,路由器,2400.00,16,720.00,0.12,4.5
2024-05-12,华南,服装鞋帽,丝巾,680.00,42,200.00,0.38,4.1
2024-05-15,华北,食品饮料,海参礼盒,15800.00,3,4800.00,0.05,4.8
2024-05-18,华中,运动户外,帐篷,4200.00,5,1200.00,0.10,4.6
2024-05-20,西南,家居用品,台灯,680.00,38,180.00,0.25,4.2
2024-05-22,华东,电子产品,移动硬盘,1800.00,20,540.00,0.18,4.4
2024-05-25,华南,服装鞋帽,棉袜,250.00,80,100.00,0.45,3.7
2024-05-28,华北,食品饮料,燕窝,12800.00,4,3800.00,0.08,4.9
2024-06-01,华中,运动户外,哑铃,1500.00,22,450.00,0.20,4.3
2024-06-03,西南,家居用品,净水器,5800.00,6,1500.00,0.05,4.7
2024-06-05,华东,电子产品,打印机,4200.00,5,1100.00,0.10,4.5
2024-06-08,华南,服装鞋帽,帽子,480.00,48,120.00,0.40,4.0
2024-06-10,华北,食品饮料,绿茶礼盒,2800.00,18,840.00,0.12,4.4
2024-06-12,华中,运动户外,网球拍,2200.00,10,660.00,0.15,4.3
2024-06-15,西南,家居用品,除湿机,3800.00,8,1100.00,0.08,4.5
2024-06-18,华东,电子产品,摄像头,960.00,28,280.00,0.22,4.1
2024-06-20,华南,,无袖上衣,1800.00,22,,0.25,4.0
2024-06-22,华北,食品饮料,薯片,320.00,95,96.00,0.50,3.6
2024-06-25,华中,运动户外,护膝,420.00,52,120.00,0.35,4.2
2024-06-28,西南,家居用品,香薰机,1500.00,18,420.00,0.20,4.3
2024-07-01,华东,电子产品,游戏机,12800.00,3,3200.00,0.05,4.8
2024-07-03,华南,服装鞋帽,风衣,4800.00,8,1400.00,0.12,4.5
2024-07-05,华北,食品饮料,饼干,680.00,55,180.00,0.40,3.8
2024-07-08,华中,运动户外,足球,980.00,25,280.00,0.28,4.2
2024-07-10,西南,家居用品,电风扇,1200.00,32,340.00,0.25,4.0
2024-07-12,华东,电子产品,数据线,180.00,120,60.00,0.55,3.5
2024-07-15,华南,服装鞋帽,泳衣,1500.00,20,480.00,0.30,4.2
2024-07-18,华北,食品饮料,牛肉干,2200.00,28,660.00,0.18,4.4
2024-07-20,华中,运动户外,运动水壶,350.00,60,100.00,0.42,4.0
2024-07-22,西南,家居用品,收纳箱,680.00,42,180.00,0.30,4.1
2024-07-25,华东,电子产品,智能音箱,3200.00,14,880.00,0.15,4.5
2024-07-28,华南,服装鞋帽,帆布鞋,1800.00,22,520.00,0.28,4.3
2024-08-01,华北,食品饮料,啤酒,980.00,48,280.00,0.35,3.9
2024-08-03,华中,运动户外,自行车头盔,1500.00,15,420.00,0.20,4.4
2024-08-05,西南,家居用品,保温杯,680.00,38,180.00,0.25,4.2
2024-08-08,华东,电子产品,机械键盘,2800.00,10,840.00,0.15,4.6
2024-08-10,华南,服装鞋帽,拖鞋,250.00,68,80.00,0.50,3.8
2024-08-12,华北,食品饮料,月饼礼盒,6800.00,8,2100.00,0.05,4.7
2024-08-15,华中,运动户外,臂力器,680.00,24,200.00,0.25,4.1
2024-08-18,西南,家居用品,蒸汽拖把,3200.00,6,920.00,0.10,4.5
2024-08-20,华东,电子产品,降噪耳机,5800.00,5,1600.00,0.08,4.7
2024-08-22,华南,服装鞋帽,连衣裙,3200.00,10,960.00,0.18,4.4
2024-08-25,华北,食品饮料,枸杞,1200.00,35,360.00,0.22,4.3
2024-08-28,华中,运动户外,计步器,2800.00,8,820.00,0.12,4.2
2024-09-01,西南,家居用品,烤箱,4800.00,5,1400.00,0.08,4.6
2024-09-03,华东,电子产品,电视盒子,1500.00,18,420.00,0.20,4.3
2024-09-05,华南,服装鞋帽,运动套装,4200.00,6,1200.00,0.15,4.5
2024-09-08,华北,食品饮料,红枣,860.00,48,240.00,0.28,4.2
2024-09-10,华中,运动户外,台球杆,3200.00,3,920.00,0.10,4.4
2024-09-12,西南,家居用品,煤气灶,6800.00,4,1800.00,0.05,4.7
2024-09-15,华东,电子产品,内存卡,420.00,55,120.00,0.42,4.0
2024-09-18,华南,服装鞋帽,毛衣,2800.00,12,820.00,0.22,4.4
2024-09-20,华北,食品饮料,火锅底料,680.00,62,180.00,0.35,4.1
2024-09-22,华中,运动户外,弹力带,180.00,85,52.00,0.48,3.9
2024-09-25,西南,家居用品,料理机,2200.00,9,640.00,0.12,4.5
2024-09-28,华东,电子产品,网卡,860.00,25,240.00,0.25,4.2
2024-10-02,华南,服装鞋帽,衬衫,2200.00,15,660.00,0.20,4.3
2024-10-05,华北,食品饮料,大米,1200.00,42,320.00,0.30,4.0
2024-10-08,华中,运动户外,钓鱼竿,4200.00,4,1200.00,0.08,4.6
2024-10-10,西南,家居用品,洗碗机,9800.00,3,2800.00,0.05,4.8
2024-10-12,华东,电子产品,投影仪,6800.00,4,1800.00,0.10,4.7
2024-10-15,华南,,秋裤,680.00,38,,0.38,4.0
2024-10-18,华北,食品饮料,保健品,4200.00,12,1260.00,0.15,4.3
2024-10-20,华中,运动户外,拉力器,480.00,28,140.00,0.25,4.1
2024-10-22,西南,家居用品,榨汁机,1800.00,14,520.00,0.18,4.4
2024-10-25,华东,电子产品,录音笔,1200.00,18,350.00,0.22,4.2
2024-10-28,华南,服装鞋帽,围巾,580.00,42,160.00,0.35,4.1
2024-11-01,华北,食品饮料,烤鸭,2800.00,8,850.00,0.10,4.5
2024-11-03,华中,运动户外,拳击手套,980.00,16,280.00,0.22,4.3
2024-11-05,西南,家居用品,电热毯,1800.00,15,520.00,0.20,4.2
2024-11-08,华东,电子产品,无人机,15800.00,2,4500.00,0.05,4.9
2024-11-10,华南,服装鞋帽,皮靴,5200.00,5,1500.00,0.12,4.6
2024-11-12,华北,食品饮料,速冻水饺,860.00,52,240.00,0.32,4.0
2024-11-15,华中,运动户外,健身环,2200.00,10,640.00,0.15,4.4
2024-11-18,西南,家居用品,电视机,25800.00,2,5200.00,0.05,4.8
2024-11-20,华东,电子产品,VR眼镜,6800.00,3,1800.00,0.08,4.6
2024-11-22,华南,服装鞋帽,棉被,2200.00,12,640.00,0.25,4.3
2024-11-25,华北,食品饮料,五谷杂粮,580.00,45,160.00,0.30,4.2
2024-11-28,华中,运动户外,护腕,220.00,72,60.00,0.45,3.9
2024-12-01,西南,家居用品,空气净化器,8800.00,4,2400.00,0.08,4.7
2024-12-03,华东,电子产品,数位板,3200.00,6,920.00,0.10,4.5
2024-12-05,华南,服装鞋帽,保暖内衣,1500.00,24,420.00,0.28,4.2
2024-12-08,华北,食品饮料,年货礼盒,12800.00,5,3800.00,0.05,4.8
2024-12-10,华中,运动户外,瑜伽服,1800.00,16,520.00,0.22,4.3
2024-12-12,西南,家居用品,微波炉,3200.00,8,900.00,0.12,4.4
2024-12-15,华东,电子产品,手写笔,680.00,32,180.00,0.30,4.1
2024-12-18,华南,服装鞋帽,呢大衣,6800.00,3,2100.00,0.08,4.7
2024-12-20,华北,食品饮料,牛排,3200.00,10,920.00,0.15,4.5
2024-12-22,华中,运动户外,滑雪板,5800.00,2,1600.00,0.10,4.8
2024-12-25,西南,家居用品,吹风机,860.00,38,240.00,0.25,4.2
2024-12-28,华东,电子产品,手机支架,180.00,85,52.00,0.50,3.7
2024-12-30,华南,服装鞋帽,钱包,1200.00,22,350.00,0.30,4.1
2024-12-31,华北,食品饮料,香槟,4200.00,6,1280.00,0.08,4.6
2025-01-02,华东,电子产品,智能手环,3200.00,14,880.00,0.18,4.4
2025-01-05,华南,服装鞋帽,冲锋衣,5800.00,6,1700.00,0.10,4.6
2025-01-08,华北,食品饮料,腊肉,1800.00,20,520.00,0.22,4.3
2025-01-10,华中,运动户外,帐篷灯,420.00,45,120.00,0.38,4.1
2025-01-12,西南,家居用品,电压力锅,2800.00,7,780.00,0.12,4.5
2025-01-15,华东,电子产品,车载充电器,680.00,38,180.00,0.28,4.2
2025-01-18,华南,服装鞋帽,羊绒衫,8600.00,3,2600.00,0.05,4.8
2025-01-20,华北,食品饮料,龙井茶,5200.00,5,1600.00,0.08,4.7
2025-01-22,华中,运动户外,溜冰鞋,2800.00,6,800.00,0.15,4.4
2025-01-25,西南,家居用品,垃圾桶,320.00,68,92.00,0.48,3.8
2025-01-28,华东,电子产品,USB集线器,480.00,42,140.00,0.32,4.1
2025-01-30,华南,服装鞋帽,拖鞋,200.00,78,58.00,0.52,3.6
2025-02-01,华北,食品饮料,元宵,1200.00,35,340.00,0.25,4.2
2025-02-03,华中,运动户外,筋膜枪,2200.00,8,660.00,0.18,4.5
2025-02-05,西南,家居用品,扫帚,180.00,95,48.00,0.55,3.5
2025-02-08,华东,电子产品,无人机配件,1800.00,14,520.00,0.22,4.3
2025-02-10,华南,服装鞋帽,领带,580.00,32,160.00,0.32,4.1
2025-02-12,华北,食品饮料,汤圆,680.00,48,180.00,0.30,4.2
2025-02-14,华中,运动户外,望远镜,4800.00,3,1400.00,0.08,4.6
2025-02-16,西南,家居用品,拖把,420.00,55,120.00,0.40,4.0
2025-02-18,华东,电子产品,计算器,350.00,42,98.00,0.38,4.1
2025-02-20,华南,,内衣套装,1280.00,18,,0.20,4.2
2025-02-22,华北,食品饮料,鱼子酱,25800.00,2,7800.00,0.02,5.0
2025-02-25,华中,运动户外,攀岩绳,1500.00,6,420.00,0.18,4.4
2025-02-28,西南,家居用品,衣柜,8200.00,3,2400.00,0.08,4.7
